Algorithm: dynamic_a_star, Bound: 15, Weight: 4.0, Cost: 70.77, Time: 0.24, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 15, Weight: 5.0, Cost: 72.18, Time: 0.22, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 15, Weight: 10.0, Cost: 76.18, Time: 0.21, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 20, Weight: 0.1, Cost: 66.87, Time: 0.64, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 20, Weight: 1.0, Cost: 66.87, Time: 0.42, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 20, Weight: 2.0, Cost: 69.36, Time: 0.27, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 20, Weight: 3.0, Cost: 70.18, Time: 0.24, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 20, Weight: 4.0, Cost: 70.77, Time: 0.22, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 20, Weight: 5.0, Cost: 72.18, Time: 0.22, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 20, Weight: 10.0, Cost: 76.18, Time: 0.2, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 25, Weight: 0.1, Cost: 83.56, Time: 0.58, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 25, Weight: 1.0, Cost: 83.56, Time: 0.55, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 25, Weight: 2.0, Cost: 86.04, Time: 0.48, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 25, Weight: 3.0, Cost: 86.87, Time: 0.37, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 25, Weight: 4.0, Cost: 87.46, Time: 0.33, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 25, Weight: 5.0, Cost: 88.87, Time: 0.32, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 25, Weight: 10.0, Cost: 92.87, Time: 0.32, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 30, Weight: 0.1, Cost: 83.56, Time: 0.59, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 30, Weight: 1.0, Cost: 83.56, Time: 0.55, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 30, Weight: 2.0, Cost: 86.04, Time: 0.49, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 30, Weight: 3.0, Cost: 86.87, Time: 0.38, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 30, Weight: 4.0, Cost: 87.46, Time: 0.35, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 30, Weight: 5.0, Cost: 88.87, Time: 0.32, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 30, Weight: 10.0, Cost: 92.87, Time: 0.31, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 35, Weight: 0.1, Cost: 88.04, Time: 0.59, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 35, Weight: 1.0, Cost: 88.04, Time: 0.53, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 35, Weight: 2.0, Cost: 88.04, Time: 0.48, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 35, Weight: 3.0, Cost: 89.46, Time: 0.38, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 35, Weight: 4.0, Cost: 90.87, Time: 0.34, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 35, Weight: 5.0, Cost: 90.87, Time: 0.33, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 35, Weight: 10.0, Cost: 96.04, Time: 0.3, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 40, Weight: 0.1, Cost: 96.87, Time: 0.71, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 40, Weight: 1.0, Cost: 96.87, Time: 0.58, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 40, Weight: 2.0, Cost: 96.87, Time: 0.54, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 40, Weight: 3.0, Cost: 98.04, Time: 0.48, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 40, Weight: 4.0, Cost: 99.21, Time: 0.38, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 40, Weight: 5.0, Cost: 99.8, Time: 0.34, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 40, Weight: 10.0, Cost: 100.38, Time: 0.31, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 45, Weight: 0.1, Cost: 101.8, Time: 0.62, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 45, Weight: 1.0, Cost: 101.8, Time: 0.59, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 45, Weight: 2.0, Cost: 101.8, Time: 0.55, Success Rate: 1.0
